																												Abundances of TMT tag in MS3 (Normalized)							
High	A0A087WY61	Nuclear mitotic apparatus protein 1 OS=Homo sapiens OX=9606 GN=NUMA1 PE=1 SV=1	0	542.786	58	105	318	1	2099	236	5.92	1055.9	105	metabolic process	cytosol;membrane		"Pf04111, Pf07888, Pf12128"		ENSG00000137497.17	11	Ectoderm Differentiation				1	0		206.7	127	126	156.2	83.9	110.2	1	
High	Q6P2Q9	Pre-mRNA-processing-splicing factor 8 OS=Homo sapiens OX=9606 GN=PRPF8 PE=1 SV=2	0	505.19	51	104	362	104	2335	273.4	8.84	1138.77	104	cell organization and biogenesis;metabolic process;response to stimulus	membrane;nucleus;spliceosomal complex	catalytic activity;protein binding;RNA binding	"Pf01398, Pf08082, Pf08083, Pf08084, Pf10596, Pf10597, Pf10598, Pf12134"	10594	ENSG00000174231.16; ENSG00000274442.2	17; CHR_HSCHR17_1_CTG2	mRNA Processing	PRPF8	Spliceosome	mRNA Splicing - Major Pathway; mRNA Splicing - Minor Pathway	7	0		27997.1	29583	30200.8	32701.3	24321.5	21683.5	1	
High	P35579	Myosin-9 OS=Homo sapiens OX=9606 GN=MYH9 PE=1 SV=4	0	493.095	54	100	239	78	1960	226.4	5.6	797.44	100	cell differentiation;cell organization and biogenesis;cellular component movement;metabolic process;regulation of biological process;response to stimulus;transport	cytoplasm;cytoskeleton;cytosol;extracellular;membrane;nucleus	catalytic activity;motor activity;nucleotide binding;protein binding;RNA binding;transporter activity	"Pf00063, Pf01442, Pf01496, Pf01576, Pf01765, Pf02736, Pf03962, Pf04111, Pf04156, Pf05911, Pf06637, Pf07888, Pf09731, Pf11068, Pf11559, Pf12128, Pf13094"	4627	ENSG00000100345.20	22	Primary Focal Segmental Glomerulosclerosis FSGS; VEGFA-VEGFR2 Signaling Pathway	MYH9	Salmonella infection; Tight junction; Regulation of actin cytoskeleton	RHO GTPases activate PAKs; EPHA-mediated growth cone collapse; RHO GTPases Activate ROCKs; Sema4D induced cell migration and growth-cone collapse; Regulation of actin dynamics for phagocytic cup formation; RHO GTPases activate CIT; RHO GTPases activate PKNs	23	23		18501.5	14005.7	13069.9	13253.4	33922.6	15618.1	1	
High	P11277	"Spectrin beta chain, erythrocytic OS=Homo sapiens OX=9606 GN=SPTB PE=1 SV=5"	0	475.927	56	97	261	91	2137	246.3	5.27	855.09	97	cell organization and biogenesis;cellular component movement;metabolic process;regulation of biological process;response to stimulus;transport	cell surface;cytoplasm;cytoskeleton;cytosol;Golgi	protein binding;structural molecule activity	"Pf00307, Pf00435, Pf11971"	6710	ENSG00000070182.19	14		SPTB		Interaction between L1 and Ankyrins; COPI-mediated anterograde transport; RAF/MAP kinase cascade; NCAM signaling for neurite out-growth; Interleukin-20 family signaling	21	7		1424	2425.3	2701.2	7048.7	17021.1	102474.7	1	
High	Q09666	Neuroblast differentiation-associated protein AHNAK OS=Homo sapiens OX=9606 GN=AHNAK PE=1 SV=2	0	462.571	41	100	208	100	5890	628.7	6.15	663.19	100	cell organization and biogenesis;regulation of biological process	cytoplasm;cytoskeleton;cytosol;membrane;nucleus	protein binding;RNA binding;structural molecule activity		79026	ENSG00000124942.13	11		AHNAK			0	0		11618.9	4463	4527.7	6211.2	48295.2	27186.3	1	
High	P21333	Filamin-A OS=Homo sapiens OX=9606 GN=FLNA PE=1 SV=4	0	456.563	47	95	215	82	2647	280.6	6.06	723.47	95	cell organization and biogenesis;cellular component movement;metabolic process;regulation of biological process;response to stimulus;transport	cytoplasm;cytoskeleton;cytosol;extracellular;membrane;nucleus	protein binding;RNA binding;signal transducer activity	"Pf00307, Pf00630"	2316	ENSG00000196924.14	X	Androgen receptor signaling pathway; Prolactin Signaling Pathway; Focal Adhesion; Hypothesized Pathways in Pathogenesis of Cardiovascular Disease; MAPK Signaling Pathway; IL-4 Signaling Pathway	FLNA	Proteoglycans in cancer; MAPK signaling pathway; Salmonella infection; Focal adhesion	Platelet degranulation ; RHO GTPases activate PAKs; Cell-extracellular matrix interactions; GP1b-IX-V activation signalling	22	13		20823.3	11737.4	10153.5	10696.5	32251.6	17159.3	1	
High	Q5UIP0	Telomere-associated protein RIF1 OS=Homo sapiens OX=9606 GN=RIF1 PE=1 SV=2	0	453.95	47	91	196	91	2472	274.3	5.52	657.15	91	cell organization and biogenesis;metabolic process;regulation of biological process;response to stimulus	chromosome;cytoplasm;cytoskeleton;membrane;nucleus	protein binding	Pf12231	55183	ENSG00000080345.17	2	ATM Signaling Network in Development and Disease	RIF1	Signaling pathways regulating pluripotency of stem cells	Nonhomologous End-Joining (NHEJ)	5	0		13486.1	17540.7	16498.2	17780.9	8682.6	7439.3	1	
High	A0A2R8Y5J0	Chromodomain-helicase-DNA-binding protein 4 OS=Homo sapiens OX=9606 GN=CHD4 PE=1 SV=1	0	445.086	48	79	248	63	1892	215.6	5.92	778.73	79												0	19		21161	17700.5	18386.7	19394.9	11610.4	8729.5	1	
High	Q9NU22	Midasin OS=Homo sapiens OX=9606 GN=MDN1 PE=1 SV=2	0	436.458	25	106	190	106	5596	632.4	5.68	611.19	106	cell organization and biogenesis;metabolic process	cytoplasm;cytoskeleton;cytosol;membrane;nucleus	catalytic activity;nucleotide binding;protein binding	"Pf00004, Pf00092, Pf02367, Pf07726, Pf07728, Pf13401, Pf13671"	23195	ENSG00000112159.11	6		MDN1	Ribosome biogenesis in eukaryotes		1	0		8833.6	10596.3	10657.2	10904.2	6494	5815.5	1	
High	Q9Y490	Talin-1 OS=Homo sapiens OX=9606 GN=TLN1 PE=1 SV=3	0	430.804	51	88	195	78	2541	269.6	6.07	628.63	88	cell organization and biogenesis;cellular component movement;regulation of biological process;response to stimulus;transport	cell surface;cytoplasm;cytoskeleton;cytosol;extracellular;membrane	protein binding;structural molecule activity	"Pf00373, Pf01608, Pf02174, Pf08913, Pf09141, Pf09379"	7094	ENSG00000137076.20	9	Integrin-mediated Cell Adhesion; Primary Focal Segmental Glomerulosclerosis FSGS; Focal Adhesion	TLN1	Rap1 signaling pathway; Focal adhesion; Platelet activation; HTLV-I infection	SEMA3A-Plexin repulsion signaling by inhibiting Integrin adhesion; Signaling by BRAF and RAF fusions; MAP2K and MAPK activation; Smooth Muscle Contraction; XBP1(S) activates chaperone genes; GRB2:SOS provides linkage to MAPK signaling for Integrins ; Signaling by RAS mutants; Signaling by high-kinase activity BRAF mutants; Signaling by moderate kinase activity BRAF mutants; p130Cas linkage to MAPK signaling for integrins; Platelet degranulation ; Paradoxical activation of RAF signaling by kinase inactive BRAF; Interleukin-20 family signaling	43	11		7770.2	10388.2	10004.8	10445.7	16307.7	13468.5	1	Met-loss [N-Term]
High	Q14683	Structural maintenance of chromosomes protein 1A OS=Homo sapiens OX=9606 GN=SMC1A PE=1 SV=2	0	417.22	60	77	263	77	1233	143.1	7.64	823.04	77	cell division;cell organization and biogenesis;metabolic process;regulation of biological process;response to stimulus	chromosome;cytosol;nucleus	nucleotide binding;protein binding;RNA binding	"Pf02463, Pf05262, Pf05557, Pf06470, Pf09726, Pf09731, Pf10186, Pf12128, Pf13175, Pf13304, Pf13476, Pf13555, Pf13558"	8243	ENSG00000072501.17	X	miRNA Regulation of DNA Damage Response; Cell Cycle; Retinoblastoma (RB) in Cancer; Constitutive Androstane Receptor Pathway; Pathways Affected in Adenoid Cystic Carcinoma; ATM Signaling Network in Development and Disease; mRNA Processing; DNA Damage Response	SMC1A	Cell cycle; Oocyte meiosis	Meiotic synapsis; Separation of Sister Chromatids; Resolution of Sister Chromatid Cohesion; Cohesin Loading onto Chromatin; Establishment of Sister Chromatid Cohesion; SUMOylation of DNA damage response and repair proteins	30	0		22957.9	23496.1	22722.8	23628	16502.8	20377.4	1	
High	P26358	DNA (cytosine-5)-methyltransferase 1 OS=Homo sapiens OX=9606 GN=DNMT1 PE=1 SV=2	0	369.852	50	72	229	69	1616	183.1	7.75	770.59	72	cell organization and biogenesis;metabolic process;regulation of biological process;response to stimulus	nucleus	catalytic activity;DNA binding;metal ion binding;nucleotide binding;protein binding;RNA binding	"Pf00145, Pf01426, Pf02008, Pf06464, Pf12047"	1786	ENSG00000130816.14	19	Trans-sulfuration pathway; One Carbon Metabolism; Retinoblastoma (RB) in Cancer; Trans-sulfuration and one carbon metabolism; Hematopoietic Stem Cell Gene Regulation by GABP alpha/beta Complex	DNMT1	Cysteine and methionine metabolism; MicroRNAs in cancer; Metabolic pathways	PRC2 methylates histones and DNA; DNA methylation; NoRC negatively regulates rRNA expression	14	3		14383.1	20526.7	19668.3	20640.9	8297	8603.7	1	
High	O75533	Splicing factor 3B subunit 1 OS=Homo sapiens OX=9606 GN=SF3B1 PE=1 SV=3	0	355.076	59	59	218	59	1304	145.7	7.09	700.34	59	cell organization and biogenesis;metabolic process;regulation of biological process;response to stimulus	nucleus;spliceosomal complex	DNA binding;protein binding;receptor activity;RNA binding;signal transducer activity	"Pf02161, Pf08920, Pf12815, Pf13513"	23451	ENSG00000115524.15	2	mRNA Processing	SF3B1	Spliceosome	B-WICH complex positively regulates rRNA expression; mRNA Splicing - Major Pathway; mRNA Splicing - Minor Pathway	11	0		12282	14939.5	15034.5	16644.2	11233.7	10018.3	1	
High	Q9UQE7	Structural maintenance of chromosomes protein 3 OS=Homo sapiens OX=9606 GN=SMC3 PE=1 SV=2	0	353.871	52	70	225	70	1217	141.5	7.18	716.78	70	cell division;cell organization and biogenesis;metabolic process;regulation of biological process;response to stimulus;transport	chromosome;cytosol;nucleus	catalytic activity;motor activity;nucleotide binding;protein binding;transporter activity	"Pf01496, Pf02463, Pf04111, Pf06470, Pf10168, Pf12128, Pf13304, Pf13476, Pf13555"	9126	ENSG00000108055.9	10	Retinoblastoma (RB) in Cancer; Mecp2 and Associated Rett Syndrome	SMC3	Cell cycle; Oocyte meiosis	Meiotic synapsis; Separation of Sister Chromatids; Resolution of Sister Chromatid Cohesion; Cohesin Loading onto Chromatin; Establishment of Sister Chromatid Cohesion; SUMOylation of DNA damage response and repair proteins	24	0		18285.7	17341.9	16987.7	18253.3	12566.3	15604.1	1	
High	Q9UQ35	Serine/arginine repetitive matrix protein 2 OS=Homo sapiens OX=9606 GN=SRRM2 PE=1 SV=2	0	351.076	35	76	211	76	2752	299.4	12.06	655.62	76	metabolic process	nucleus;spliceosomal complex	nucleotide binding;protein binding;RNA binding		23524	ENSG00000167978.16	16		SRRM2		mRNA Splicing - Major Pathway	4	0		9423.7	15078	15054.1	15037.1	11592.5	10623	1	
High	Q8NFC6	Biorientation of chromosomes in cell division protein 1-like 1 OS=Homo sapiens OX=9606 GN=BOD1L1 PE=1 SV=2	0	347.573	34	76	152	76	3051	330.3	5.08	510.73	76	metabolic process;response to stimulus	chromosome		Pf05205	259282	ENSG00000038219.12	4		BOD1L1			0	0		6481.1	9798.3	8810.5	8989.5	4202.7	5267.5	1	
High	Q08211	ATP-dependent RNA helicase A OS=Homo sapiens OX=9606 GN=DHX9 PE=1 SV=4	0	347.271	55	58	273	58	1270	140.9	6.84	947.6	58	cell death;cell differentiation;cell organization and biogenesis;defense response;metabolic process;regulation of biological process;response to stimulus;transport	cytoplasm;cytoskeleton;cytosol;membrane;nucleus;ribosome	catalytic activity;DNA binding;metal ion binding;nucleotide binding;protein binding;RNA binding	"Pf00035, Pf00270, Pf00271, Pf04408, Pf07717"	1660	ENSG00000135829.16	1	mRNA Processing	DHX9		TRAF6 mediated NF-kB activation; TAK1 activates NFkB by phosphorylation and activation of IKKs complex; RIP-mediated NFkB activation via ZBP1; Activated TLR4 signalling; Interleukin-1 family signaling; mRNA Splicing - Major Pathway; DEx/H-box helicases activate type I IFN and inflammatory cytokines production	34	0		20518.9	20847.7	21479.1	22942.2	13208	9974.2	1	
High	Q13813	"Spectrin alpha chain, non-erythrocytic 1 OS=Homo sapiens OX=9606 GN=SPTAN1 PE=1 SV=3"	0	339.911	40	84	154	84	2472	284.4	5.35	497.26	84	cell organization and biogenesis;cellular component movement;metabolic process;regulation of biological process;response to stimulus;transport	cytoplasm;cytoskeleton;cytosol;extracellular;membrane;organelle lumen	metal ion binding;protein binding;structural molecule activity	"Pf00018, Pf00036, Pf00435, Pf07653, Pf08239, Pf08726, Pf13405, Pf13499, Pf14604"	6709	ENSG00000197694.15	9	Fas Ligand (FasL) pathway and Stress induction of Heat Shock Proteins (HSP) regulation	SPTAN1	Apoptosis; Tight junction	Interaction between L1 and Ankyrins; Caspase-mediated cleavage of cytoskeletal proteins; NCAM signaling for neurite out-growth; Nephrin family interactions; Neutrophil degranulation; COPI-mediated anterograde transport; RAF/MAP kinase cascade; Interleukin-20 family signaling	33	0		31393	1135.7	1107.4	957.9	22182.5	13710.4	1	
High	P02545	Prelamin-A/C OS=Homo sapiens OX=9606 GN=LMNA PE=1 SV=1	0	328.084	69	54	398	7	664	74.1	7.02	1333.2	54	cell organization and biogenesis;regulation of biological process;response to stimulus;transport	cytosol;membrane;nucleus	protein binding;structural molecule activity	"Pf00038, Pf00932"	4000	ENSG00000160789.19	1	Arrhythmogenic Right Ventricular Cardiomyopathy; Adipogenesis; Fas Ligand (FasL) pathway and Stress induction of Heat Shock Proteins (HSP) regulation	LMNA	Apoptosis; Arrhythmogenic right ventricular cardiomyopathy (ARVC); Hypertrophic cardiomyopathy (HCM); Dilated cardiomyopathy	Signaling by BRAF and RAF fusions; Breakdown of the nuclear lamina; XBP1(S) activates chaperone genes; Initiation of Nuclear Envelope Reformation; Clearance of Nuclear Envelope Membranes from Chromatin; Depolymerisation of the Nuclear Lamina; Deregulated CDK5 triggers multiple neurodegenerative pathways in Alzheimer's disease models	33	51		11941.9	37378.5	36866.9	42269.6	32610.8	46259.5	1	
High	Q14008	Cytoskeleton-associated protein 5 OS=Homo sapiens OX=9606 GN=CKAP5 PE=1 SV=3	0	327.826	42	76	179	76	2032	225.4	7.8	526.06	76	cell division;cell organization and biogenesis;regulation of biological process;transport	chromosome;cytoplasm;cytoskeleton;cytosol;membrane	protein binding	Pf12348	9793	ENSG00000175216.14	11		CKAP5		Regulation of PLK1 Activity at G2/M Transition; AURKA Activation by TPX2; Anchoring of the basal body to the plasma membrane; Recruitment of NuMA to mitotic centrosomes; Recruitment of mitotic centrosome proteins and complexes; Loss of Nlp from mitotic centrosomes; Amplification  of signal from unattached  kinetochores via a MAD2  inhibitory signal; Separation of Sister Chromatids; Resolution of Sister Chromatid Cohesion; RHO GTPases Activate Formins	28	0		12520.4	11649.5	10979.9	14375.8	11466.1	18757.3	1	
High	P49454	Centromere protein F OS=Homo sapiens OX=9606 GN=CENPF PE=1 SV=3	0	322.531	31	85	126	85	3114	357.3	5.1	387.75	85												0	0		9864.6	7788.6	7560.3	8028.6	4208.7	5682.3	1	
High	P25205	DNA replication licensing factor MCM3 OS=Homo sapiens OX=9606 GN=MCM3 PE=1 SV=3	0	314.152	74	52	183	52	808	90.9	5.77	572.49	52	metabolic process	cytoplasm;membrane;nucleus	catalytic activity;DNA binding;nucleotide binding;protein binding	"Pf00493, Pf01078, Pf07728, Pf14551"	4172	ENSG00000112118.18	6	Cell Cycle; Retinoblastoma (RB) in Cancer; G1 to S cell cycle control; DNA Replication	MCM3	DNA replication; Cell cycle	M/G1 Transition; Assembly of the pre-replicative complex; Unwinding of DNA; Regulation of DNA replication; Activation of ATR in response to replication stress; Activation of the pre-replicative complex; Orc1 removal from chromatin; Removal of licensing factors from origins	26	0		13205.7	15299.6	16067	15654.7	10493.7	8431.6	1	
High	P11142	Heat shock cognate 71 kDa protein OS=Homo sapiens OX=9606 GN=HSPA8 PE=1 SV=1	0	314.115	82	41	269	24	646	70.9	5.52	897.6	41	cell communication;cell organization and biogenesis;metabolic process;regulation of biological process;response to stimulus;transport	cytoplasm;cytosol;endosome;extracellular;membrane;nucleus;organelle lumen;spliceosomal complex	catalytic activity;nucleotide binding;protein binding;RNA binding	"Pf00012, Pf02463, Pf06723"	3312	ENSG00000109971.13	11	Parkin-Ubiquitin Proteasomal System pathway; MAPK Signaling Pathway; Exercise-induced Circadian Regulation	HSPA8	Spliceosome; Endocytosis; Antigen processing and presentation; Influenza A; Protein processing in endoplasmic reticulum; Epstein-Barr virus infection; Legionellosis; Measles; MAPK signaling pathway; Longevity regulating pathway - multiple species; Estrogen signaling pathway; Toxoplasmosis	"Protein methylation; Clathrin-mediated endocytosis; Regulation of HSF1-mediated heat shock response; Golgi Associated Vesicle Biogenesis; GABA synthesis, release, reuptake and degradation; Lysosome Vesicle Biogenesis; CHL1 interactions; AUF1 (hnRNP D0) binds and destabilizes mRNA; Attenuation phase; Neutrophil degranulation; mRNA Splicing - Major Pathway; Interleukin-4 and 13 signaling; HSP90 chaperone cycle for steroid hormone receptors (SHR)"	52	22		10872	24476.3	23666.5	22802.7	24207.2	23241.3	1	
High	Q12906	Interleukin enhancer-binding factor 3 OS=Homo sapiens OX=9606 GN=ILF3 PE=1 SV=3	0	310.627	60	42	229	37	894	95.3	8.76	731.41	42	defense response;metabolic process;regulation of biological process;response to stimulus	cytoplasm;extracellular;membrane;mitochondrion;nucleus	DNA binding;protein binding;RNA binding	"Pf00035, Pf07528, Pf14709"	3609	ENSG00000129351.17	19		ILF3			0	6		25785.5	23382	23222.8	22375.3	13086	13199.2	1	
High	Q01082	"Spectrin beta chain, non-erythrocytic 1 OS=Homo sapiens OX=9606 GN=SPTBN1 PE=1 SV=2"	0	307.571	39	76	140	67	2364	274.4	5.57	437.18	76	cell organization and biogenesis;cellular component movement;metabolic process;regulation of biological process;response to stimulus;transport	cytoplasm;cytoskeleton;cytosol;membrane;nucleus	protein binding;RNA binding;structural molecule activity	"Pf00169, Pf00307, Pf00435, Pf11971, Pf12128, Pf15410"	6711	ENSG00000115306.15	2	TGF-beta Signaling Pathway; Sudden Infant Death Syndrome (SIDS) Susceptibility Pathways	SPTBN1		Nephrin family interactions; Interaction between L1 and Ankyrins; COPI-mediated anterograde transport; RAF/MAP kinase cascade; NCAM signaling for neurite out-growth; Interleukin-20 family signaling	25	3		24850.8	856.6	825.1	702.6	19097.1	10806	1	
