Protein FDR Confidence: Combined	Accession	Description	Exp. q-value: Combined	Sum PEP Score	Coverage [%]	# Peptides	# PSMs	# Unique Peptides	# AAs	MW [kDa]	calc. pI	Score Sequest HT: Sequest HT	# Peptides (by Search Engine): Sequest HT	Biological Process	Cellular Component	Molecular Function	Pfam IDs	Entrez Gene ID	Ensembl Gene ID	Chromosome	WikiPathways	Gene Symbol	KEGG Pathways	Reactome Pathways	# Protein Pathway Groups	# Razor Peptides		"126, Day 2"	"127N, Day 7.5"	"128N, Day 8"	"129C, Day 10"	"130N, Day 12"	"131, Day 14"	# Protein Groups	Modifications
High	Q7KZ85	Transcription elongation factor SPT6 OS=Homo sapiens OX=9606 GN=SUPT6H PE=1 SV=2	0	233.193	38	51	96	51	1726	198.9	4.91	324.56	51	cell organization and biogenesis;metabolic process;regulation of biological process;transport	nucleus	DNA binding;protein binding;RNA binding	"Pf00017, Pf09371, Pf12836, Pf14633, Pf14635, Pf14639, Pf14641, Pf14878"	6830	ENSG00000109111.14	17		SUPT6H		Formation of RNA Pol II elongation complex ; RNA Polymerase II Pre-transcription Events	5	0	NA	5312.9	4928.9	4991	4822.5	3642	2928.7	1	
High	P13010	X-ray repair cross-complementing protein 5 OS=Homo sapiens OX=9606 GN=XRCC5 PE=1 SV=3	0	227.404	66	38	162	38	732	82.7	5.81	513.29	38	cell differentiation;cell organization and biogenesis;cell proliferation;defense response;metabolic process;regulation of biological process;response to stimulus;transport	chromosome;cytoplasm;cytosol;extracellular;membrane;nucleus;organelle lumen	catalytic activity;DNA binding;enzyme regulator activity;nucleotide binding;protein binding;RNA binding	"Pf02735, Pf03730, Pf03731, Pf08785"	7520	ENSG00000079246.15	2	Non-homologous end joining	XRCC5	Non-homologous end-joining	2-LTR circle formation; Neutrophil degranulation; IRF3-mediated induction of type I IFN; Nonhomologous End-Joining (NHEJ)	18	0	NA	16342.9	13493.9	14117.4	15639.1	8995.3	9929.4	1	
High	Q15424	Scaffold attachment factor B1 OS=Homo sapiens OX=9606 GN=SAFB PE=1 SV=4	0	222.671	44	42	137	26	915	102.6	5.47	451.24	42	cell organization and biogenesis;metabolic process;regulation of biological process;response to stimulus	nucleus	DNA binding;protein binding;RNA binding	"Pf00076, Pf02037, Pf13893, Pf14259"	6294	ENSG00000160633.12	19	Structural Pathway of Interleukin 1 (IL-1)	SAFB			1	16	NA	17218.2	14967.8	13944.3	13271.9	6829.8	8436.9	1	
High	Q5RI18	Heterogeneous nuclear ribonucleoprotein U OS=Homo sapiens OX=9606 GN=HNRNPU PE=1 SV=9	0	219.137	61	34	211	1	602	67.8	9.09	634.96	34		nucleus		"Pf00622, Pf13671"		ENSG00000153187.18	1					0	0	NA	NA	NA	NA	NA	NA	NA	1	Met-loss [N-Term]
High	P13639	Elongation factor 2 OS=Homo sapiens OX=9606 GN=EEF2 PE=1 SV=4	0	216.221	59	46	160	45	858	95.3	6.83	495.4	46	cell differentiation;cell proliferation;metabolic process;regulation of biological process;response to stimulus;transport	cytoplasm;cytosol;extracellular;membrane;nucleus;organelle lumen;ribosome	catalytic activity;nucleotide binding;protein binding;RNA binding	"Pf00009, Pf00679, Pf03144, Pf03764, Pf14492"	1938	ENSG00000167658.15	19	Translation Factors; AMP-activated Protein Kinase (AMPK) Signaling; Brain-Derived Neurotrophic Factor (BDNF) signaling pathway	EEF2	AMPK signaling pathway; Oxytocin signaling pathway	Peptide chain elongation; Protein methylation; Synthesis of diphthamide-EEF2; Neutrophil degranulation; Uptake and function of diphtheria toxin	20	0	NA	5821.3	10967	11406.1	10132.6	15917.6	9771	1	Met-loss [N-Term]
High	P09651	Heterogeneous nuclear ribonucleoprotein A1 OS=Homo sapiens OX=9606 GN=HNRNPA1 PE=1 SV=5	0	206.93	70	27	285	13	372	38.7	9.13	891.42	27	cell communication;metabolic process;regulation of biological process;response to stimulus;transport	cytoplasm;membrane;nucleus;spliceosomal complex	DNA binding;protein binding;RNA binding	"Pf00076, Pf13893, Pf14259"	3178	ENSG00000135486.17	12	mRNA Processing	HNRNPA1	Spliceosome	mRNA Splicing - Major Pathway; FGFR2 alternative splicing	11	16	NA	22363.9	27229.9	28031.5	26971.7	14416.8	12058.3	1	
High	O60506	Heterogeneous nuclear ribonucleoprotein Q OS=Homo sapiens OX=9606 GN=SYNCRIP PE=1 SV=2	0	203.835	57	32	153	6	623	69.6	8.59	504.18	32	cell differentiation;metabolic process;regulation of biological process;response to stimulus	cytoplasm;endoplasmic reticulum;membrane;nucleus;spliceosomal complex	protein binding;RNA binding	"Pf00076, Pf13893, Pf14259"	10492	ENSG00000135316.17	6		SYNCRIP			0	19	NA	10135.8	11217.9	11052.4	10463.9	7440.4	7291.3	1	
High	P12956	X-ray repair cross-complementing protein 6 OS=Homo sapiens OX=9606 GN=XRCC6 PE=1 SV=2	0	200.919	62	37	170	37	609	69.8	6.64	584.66	37	cell organization and biogenesis;defense response;metabolic process;regulation of biological process;response to stimulus;transport	chromosome;cytoplasm;cytosol;extracellular;membrane;nucleus;organelle lumen	catalytic activity;DNA binding;nucleotide binding;protein binding;RNA binding	"Pf02037, Pf02735, Pf03730, Pf03731"	2547	ENSG00000196419.12	22	Non-homologous end joining	XRCC6	Non-homologous end-joining	2-LTR circle formation; Neutrophil degranulation; IRF3-mediated induction of type I IFN; Nonhomologous End-Joining (NHEJ)	18	0	NA	20892.5	16933	17179.8	17880.5	11031.5	12710.6	1	
High	P23246	"Splicing factor, proline- and glutamine-rich OS=Homo sapiens OX=9606 GN=SFPQ PE=1 SV=2"	0	198.158	49	29	189	28	707	76.1	9.44	516.4	29	cell organization and biogenesis;defense response;metabolic process;regulation of biological process;response to stimulus	chromosome;cytoplasm;nucleus	DNA binding;protein binding;RNA binding	"Pf00076, Pf08075, Pf13893, Pf14259"	6421	ENSG00000116560.10	1	mRNA Processing	SFPQ		PTK6 Regulates Proteins Involved in RNA Processing	5	1	NA	15965.4	18145.7	17624.5	18536.5	10157.4	8764.3	1	
High	Q7KZF4	Staphylococcal nuclease domain-containing protein 1 OS=Homo sapiens OX=9606 GN=SND1 PE=1 SV=1	0	193.349	48	39	105	39	910	101.9	7.17	343.53	39	cell differentiation;metabolic process;regulation of biological process	cytoplasm;cytosol;membrane;mitochondrion;nucleus	catalytic activity;protein binding;RNA binding	"Pf00565, Pf00567"	27044	ENSG00000197157.10	7		SND1	Epstein-Barr virus infection; Viral carcinogenesis	Signaling by BRAF and RAF fusions	6	0	NA	7669.4	5316.1	5693.7	4634.6	10641.6	7624.4	1	
High	P22626	Heterogeneous nuclear ribonucleoproteins A2/B1 OS=Homo sapiens OX=9606 GN=HNRNPA2B1 PE=1 SV=2	0	190.346	74	27	292	24	353	37.4	8.95	858.99	27	metabolic process;regulation of biological process;response to stimulus;transport	cytoplasm;extracellular;membrane;nucleus;spliceosomal complex	DNA binding;protein binding;RNA binding	"Pf00076, Pf13893, Pf14259"	3181	ENSG00000122566.20	7	mRNA Processing	HNRNPA2B1		Gene and protein expression by JAK-STAT signaling after Interleukin-12 stimulation; Interleukin-12 family signaling; mRNA Splicing - Major Pathway	10	0	NA	17417.6	18393.6	18535.6	18835.7	12626	12044.2	1	
High	A6NLN1	"Polypyrimidine tract binding protein 1, isoform CRA_b OS=Homo sapiens OX=9606 GN=PTBP1 PE=1 SV=4"	0	186.511	57	21	136	2	527	56.5	9.38	500.06	21	metabolic process;regulation of biological process;response to stimulus	membrane;nucleus	protein binding;RNA binding	"Pf00076, Pf13893, Pf14259"	5725	ENSG00000011304.19	19	mir-124 predicted interactions with cell cycle and differentiation; mRNA Processing	PTBP1			2	25	NA	6430.2	7326	7661	8693.1	5791.5	4572	1	
High	A0A0U1RRM4	Polypyrimidine tract-binding protein 1 OS=Homo sapiens OX=9606 GN=PTBP1 PE=1 SV=1	0	185.234	53	20	133	1	588	62.4	9.1	491.12	20	metabolic process	nucleus	RNA binding	"Pf00076, Pf13893, Pf14259"		ENSG00000011304.19	19	mir-124 predicted interactions with cell cycle and differentiation				1	0	NA	NA	NA	NA	NA	NA	NA	1	
High	Q9NYF8	Bcl-2-associated transcription factor 1 OS=Homo sapiens OX=9606 GN=BCLAF1 PE=1 SV=2	0	184.885	37	30	123	1	920	106.1	9.98	400.79	30	cell death;metabolic process;regulation of biological process;response to stimulus	cytoplasm;nucleus	DNA binding;protein binding;RNA binding	Pf15440	9774	ENSG00000029363.16	6	Interactome of polycomb repressive complex 2 (PRC2)	BCLAF1			1	32	NA	12885.7	12232	12891.3	12469.4	6866.2	6894.7	1	
High	P55265	Double-stranded RNA-specific adenosine deaminase OS=Homo sapiens OX=9606 GN=ADAR PE=1 SV=4	0	184.602	40	42	120	42	1226	136	8.65	338.82	42	cell differentiation;cell organization and biogenesis;defense response;metabolic process;regulation of biological process;response to stimulus;transport	cytoplasm;membrane;nucleus;spliceosomal complex	catalytic activity;DNA binding;metal ion binding;protein binding;RNA binding	"Pf00035, Pf02137, Pf02295"	103	ENSG00000160710.15	1		ADAR	Measles; Influenza A; Cytosolic DNA-sensing pathway	C6 deamination of adenosine; Interferon alpha/beta signaling; Formation of editosomes by ADAR proteins	12	0	NA	13150	11468.5	11403.2	11544.8	5555.4	5889	1	
High	O94906	Pre-mRNA-processing factor 6 OS=Homo sapiens OX=9606 GN=PRPF6 PE=1 SV=1	0	183.575	52	44	127	44	941	106.9	8.25	375.37	44	cell organization and biogenesis;metabolic process;regulation of biological process	membrane;nucleus;spliceosomal complex	protein binding;RNA binding	"Pf06424, Pf13414, Pf14559"	24148	ENSG00000101161.7	20	mRNA Processing	PRPF6	Spliceosome	mRNA Splicing - Major Pathway; mRNA Splicing - Minor Pathway	7	0	NA	10523.4	10006.7	10257.2	10999.5	7993.6	8106.5	1	
High	J3KTA4	Probable ATP-dependent RNA helicase DDX5 OS=Homo sapiens OX=9606 GN=DDX5 PE=1 SV=1	0	183.311	60	36	196	28	614	69	8.85	582.5	36	cell differentiation;cell growth;cell organization and biogenesis;metabolic process;regulation of biological process;response to stimulus	cytoplasm;membrane;nucleus;spliceosomal complex	catalytic activity;nucleotide binding;protein binding;RNA binding	"Pf00270, Pf00271, Pf08061"	1655	ENSG00000108654.13	17		DDX5			0	11	NA	17458.4	19684.5	21521.6	24887.5	14933.1	8225	1	
High	P38919	Eukaryotic initiation factor 4A-III OS=Homo sapiens OX=9606 GN=EIF4A3 PE=1 SV=4	0	181.948	64	24	120	22	411	46.8	6.73	399.37	24	metabolic process;regulation of biological process;response to stimulus;transport	cytoplasm;cytosol;membrane;nucleus;spliceosomal complex	catalytic activity;nucleotide binding;protein binding;RNA binding	"Pf00270, Pf00271"	9775	ENSG00000141543.9	17		EIF4A3	Spliceosome; RNA transport; mRNA surveillance pathway	ISG15 antiviral mechanism; mRNA 3'-end processing; mRNA Splicing - Major Pathway; Cleavage of Growing Transcript in the Termination Region ; Regulation of expression of SLITs and ROBOs; Transport of Mature mRNA derived from an Intron-Containing Transcript; Nonsense Mediated Decay (NMD) enhanced by the Exon Junction Complex (EJC); Deadenylation of mRNA	27	2	NA	9368.6	10053.8	10129.1	10237.6	7658.5	6958	1	
High	P14618	Pyruvate kinase PKM OS=Homo sapiens OX=9606 GN=PKM PE=1 SV=4	0	179.825	58	26	87	25	531	57.9	7.84	310.8	26	cell death;cell organization and biogenesis;metabolic process;response to stimulus;transport	cytoplasm;cytosol;extracellular;mitochondrion;nucleus;organelle lumen	catalytic activity;metal ion binding;nucleotide binding;protein binding;RNA binding	"Pf00224, Pf02887"	5315	ENSG00000067225.17	15	Photodynamic therapy-induced HIF-1 survival signaling; Amino Acid metabolism; Glycolysis and Gluconeogenesis	PKM	Biosynthesis of amino acids; Type II diabetes mellitus; Carbon metabolism; Glycolysis / Gluconeogenesis; Pyruvate metabolism; Central carbon metabolism in cancer; Metabolic pathways; Glucagon signaling pathway; Purine metabolism; Viral carcinogenesis	Glycolysis; Neutrophil degranulation	20	1	NA	2625.7	3714.3	4400.3	5220.3	12657.4	3896	1	
High	B4DY08	Heterogeneous nuclear ribonucleoproteins C1/C2 OS=Homo sapiens OX=9606 GN=HNRNPC PE=1 SV=1	0	179.092	62	25	188	3	288	32	8.72	605.05	25	cell differentiation;cell organization and biogenesis;metabolic process;regulation of biological process	cytoskeleton;cytosol;extracellular;membrane;nucleus;spliceosomal complex	DNA binding;protein binding;RNA binding	"Pf00076, Pf13893, Pf14259"	3183	ENSG00000092199.17	14	mRNA Processing	HNRNPC			1	0	NA	476.5	510.9	480.2	433.9	273.4	314.2	1	
High	Q14151	Scaffold attachment factor B2 OS=Homo sapiens OX=9606 GN=SAFB2 PE=1 SV=1	0	175.655	39	37	100	21	953	107.4	6.16	332.56	37	cell differentiation;metabolic process;regulation of biological process	cytoplasm;nucleus	DNA binding;protein binding;RNA binding	"Pf00076, Pf02037, Pf13893, Pf14259"	9667	ENSG00000130254.11	19		SAFB2			0	0	NA	5028.8	4711.4	4548.1	4349.5	1824	2019.3	1	
High	E9PK91	Bcl-2-associated transcription factor 1 OS=Homo sapiens OX=9606 GN=BCLAF1 PE=1 SV=1	0	174.819	38	29	118	1	871	100.3	9.95	376.9	29	cell death;metabolic process;regulation of biological process;response to stimulus	cytoplasm;nucleus	DNA binding;protein binding;RNA binding	Pf15440	9774	ENSG00000029363.16	6	Interactome of polycomb repressive complex 2 (PRC2)	BCLAF1			1	0	NA	784.6	984.7	969.8	827.4	482.9	325.5	1	
High	A0A0A0MRM9	Nucleolar and coiled-body phosphoprotein 1 (Fragment) OS=Homo sapiens OX=9606 GN=NOLC1 PE=1 SV=1	0	173.346	59	38	104	36	708	74.6	9.47	306.28	38			protein binding	Pf05022		ENSG00000166197.16	10					0	2	NA	6692.7	10735.2	9977.4	8876.2	7374.5	4989.1	1	
High	P61978	Heterogeneous nuclear ribonucleoprotein K OS=Homo sapiens OX=9606 GN=HNRNPK PE=1 SV=1	0	170.295	66	30	213	8	463	50.9	5.54	633.85	30	metabolic process;regulation of biological process;response to stimulus	cytoplasm;membrane;nucleus;spliceosomal complex	DNA binding;protein binding;RNA binding	"Pf00013, Pf08067, Pf13014, Pf13083"	3190	ENSG00000165119.20	9	mRNA Processing	HNRNPK	Herpes simplex infection; MicroRNAs in cancer; Spliceosome; Viral carcinogenesis	mRNA Splicing - Major Pathway; SUMOylation of RNA binding proteins	14	27	NA	14294.5	18758.8	19608.6	20858.8	14120.4	11480.8	1	
High	P07910	Heterogeneous nuclear ribonucleoproteins C1/C2 OS=Homo sapiens OX=9606 GN=HNRNPC PE=1 SV=4	0	168.034	68	27	185	2	306	33.7	5.08	595.78	27	cell differentiation;cell organization and biogenesis;metabolic process;regulation of biological process	cytoskeleton;cytosol;extracellular;membrane;nucleus;spliceosomal complex	DNA binding;protein binding;RNA binding	"Pf00076, Pf13893, Pf14259"	3183	ENSG00000092199.17	14	mRNA Processing	HNRNPC	Spliceosome	mRNA Splicing - Major Pathway; SUMOylation of RNA binding proteins	11	26	NA	17823.2	18355.5	18990.2	21387.4	11005	11582.4	1	
High	Q86XP3	ATP-dependent RNA helicase DDX42 OS=Homo sapiens OX=9606 GN=DDX42 PE=1 SV=1	0	167.257	41	31	80	4	938	102.9	7.02	270.64	31	metabolic process;regulation of biological process	cytoplasm;cytosol;membrane;nucleus	catalytic activity;nucleotide binding;protein binding;RNA binding	"Pf00270, Pf00271, Pf13307"	11325	ENSG00000198231.12	17		DDX42	Spliceosome	mRNA Splicing - Major Pathway; mRNA Splicing - Minor Pathway	6	28	NA	4545	8010.4	7954.9	8144	5406.6	3987.5	1	
High	O75475	PC4 and SFRS1-interacting protein OS=Homo sapiens OX=9606 GN=PSIP1 PE=1 SV=1	0	161.89	54	32	110	31	530	60.1	9.13	333.38	32	cell organization and biogenesis;metabolic process;regulation of biological process;response to stimulus;transport	cytosol;nucleus	DNA binding;metal ion binding;protein binding;RNA binding	"Pf00855, Pf11467"	11168	ENSG00000164985.14	9		PSIP1		2-LTR circle formation; APOBEC3G mediated resistance to HIV-1 infection; Integration of viral DNA into host genomic DNA; Vpr-mediated nuclear import of PICs; Autointegration results in viral DNA circles	13	1	NA	21387.8	13424.8	12485.8	12034	7108.4	10770	1	
High	O60306	RNA helicase aquarius OS=Homo sapiens OX=9606 GN=AQR PE=1 SV=4	0	160.583	33	42	85	42	1485	171.2	6.37	248.13	42	metabolic process;response to stimulus	membrane;nucleus;spliceosomal complex	catalytic activity;DNA binding;nucleotide binding;protein binding;RNA binding	"Pf04851, Pf13086, Pf13087, Pf13245, Pf13538"	9716	ENSG00000021776.10	15		AQR	Spliceosome	Dual incision in TC-NER; Formation of TC-NER Pre-Incision Complex; mRNA Splicing - Major Pathway; Gap-filling DNA repair synthesis and ligation in TC-NER	11	0	NA	3775.3	4603.3	4459.1	4708.8	3001.3	2526.6	1	
High	Q8N163	Cell cycle and apoptosis regulator protein 2 OS=Homo sapiens OX=9606 GN=CCAR2 PE=1 SV=2	0	155.281	53	37	88	32	923	102.8	5.22	267.05	37	cell death;cell organization and biogenesis;metabolic process;regulation of biological process;response to stimulus	cytoplasm;nucleus;organelle lumen;spliceosomal complex	enzyme regulator activity;protein binding;RNA binding	"Pf14443, Pf14444"	57805	ENSG00000158941.16	8		CCAR2; KIAA1967		Regulation of HSF1-mediated heat shock response	4	5	NA	4220.8	6107.8	6114.9	6075.8	5376.9	4767.8	1	
High	Q8IX12	Cell division cycle and apoptosis regulator protein 1 OS=Homo sapiens OX=9606 GN=CCAR1 PE=1 SV=2	0	155.168	30	34	97	33	1150	132.7	5.76	284.75	34	cell death;metabolic process;regulation of biological process	cytoplasm	DNA binding;protein binding;RNA binding	"Pf02037, Pf14443, Pf14444"	55749	ENSG00000060339.13	10		CCAR1		mRNA Splicing - Major Pathway	4	1	NA	8127.3	10203.2	10183.9	10821.9	6191	7031.8	1	
High	P06748	Nucleophosmin OS=Homo sapiens OX=9606 GN=NPM1 PE=1 SV=2	0	152.728	60	19	280	19	294	32.6	4.78	1087.09	19	cell growth;cell organization and biogenesis;cellular homeostasis;metabolic process;regulation of biological process;response to stimulus;transport	cytoplasm;cytoskeleton;cytosol;membrane;nucleus	DNA binding;enzyme regulator activity;protein binding;RNA binding	Pf03066	4869	ENSG00000181163.13	5		NPM1		Nuclear import of Rev protein; TFAP2A acts as a transcriptional repressor during retinoic acid induced cell differentiation; TP53 regulates transcription of additional cell cycle genes whose exact role in the p53 pathway remain uncertain; Deposition of new CENPA-containing nucleosomes at the centromere	18	0	NA	25824.4	25713.9	25285.7	21709.7	10514.2	9739.2	1	
High	B4DY09	Interleukin enhancer-binding factor 2 OS=Homo sapiens OX=9606 GN=ILF2 PE=1 SV=1	0	151.537	83	21	121	21	352	38.9	4.94	400.25	21	metabolic process;regulation of biological process;response to stimulus;transport	extracellular;membrane;nucleus;organelle lumen	catalytic activity;DNA binding;nucleotide binding;protein binding;RNA binding	Pf07528	3608	ENSG00000143621.16	1	B Cell Receptor Signaling Pathway	ILF2			1	0	NA	7703.5	7672.9	7576.2	7298.9	4243.3	4141.4	1	
High	A0A0A0MSJ0	ATP-dependent RNA helicase DDX42 OS=Homo sapiens OX=9606 GN=DDX42 PE=1 SV=1	0	149.39	47	28	71	1	708	77.8	7.01	234.51	28	metabolic process		catalytic activity;nucleotide binding	"Pf00270, Pf00271, Pf13307"		ENSG00000198231.12	17					0	0	NA	NA	NA	NA	NA	NA	NA	1	
High	Q08945	FACT complex subunit SSRP1 OS=Homo sapiens OX=9606 GN=SSRP1 PE=1 SV=1	0	148.977	48	28	88	28	709	81	6.87	309.58	28	metabolic process;regulation of biological process;response to stimulus	chromosome;nucleus	DNA binding;protein binding;RNA binding	"Pf00505, Pf03531, Pf08512, Pf09011"	6749	ENSG00000149136.8	11		SSRP1		HIV elongation arrest and recovery; TP53 Regulates Transcription of DNA Repair Genes; Tat-mediated HIV elongation arrest and recovery; Formation of RNA Pol II elongation complex ; Formation of HIV elongation complex in the absence of HIV Tat; Regulation of TP53 Activity through Phosphorylation; RNA Polymerase II Pre-transcription Events; Pausing and recovery of HIV elongation; Pausing and recovery of Tat-mediated HIV elongation; Formation of HIV-1 elongation complex containing HIV-1 Tat	24	0	NA	8709.4	8800.5	8727.6	8667.8	6778.9	6225.5	1	
High	Q92499	ATP-dependent RNA helicase DDX1 OS=Homo sapiens OX=9606 GN=DDX1 PE=1 SV=2	0	148.3	50	30	84	30	740	82.4	7.23	267.8	30	cell organization and biogenesis;development;metabolic process;regulation of biological process;response to stimulus	cytoplasm;cytosol;membrane;nucleus	catalytic activity;DNA binding;nucleotide binding;protein binding;RNA binding	"Pf00270, Pf00271, Pf00622"	1653	ENSG00000079785.14	2	DDX1 as a regulatory component of the Drosha microprocessor; mRNA Processing	DDX1		tRNA processing in the nucleus	5	0	NA	7692.5	7638.3	7618.2	7693.6	8515.9	6181.6	1	
High	Q96PK6	RNA-binding protein 14 OS=Homo sapiens OX=9606 GN=RBM14 PE=1 SV=2	0	148.118	48	26	103	26	669	69.4	9.67	335.72	26	cell organization and biogenesis;defense response;metabolic process;regulation of biological process;response to stimulus	cytoplasm;nucleus	protein binding;RNA binding	"Pf00076, Pf13893, Pf14259"	10432; 100526737	ENSG00000239306.4	11		RBM14; RBM14-RBM4		RUNX2 regulates bone development	5	0	NA	8060.9	8129	7970.8	9088.4	6053.8	5467.5	1	
